NCT Number,Study Title,Conditions
NCT05198401,The Impact of the Previous Exposure to Covid-19 Virus Infection on the Outcome of ICSI Cycles,COVID-19|IVF
NCT06577467,Cross-Sectional Evaluation of Persistence of SARS-CoV-2 Remnants After Recovery From Acute Infection,PASC Post Acute Sequelae of COVID-19
NCT05105789,Safe and Healthy Schools,Sars-CoV-2 Infection|COVID-19
NCT04476589,Prognostication of Recovery in Early Disorders of Consciousness After COVID-19,Covid19|Coma|Consciousness Disorder
NCT05126589,Respiratory Virus Metagenomics After COVID-19,COVID-19 Respiratory Infection
NCT05104489,Dose-finding Study for AdimrSC-2f Vaccine,COVID-19
NCT04610489,Diagnostic Performance of an Antigen Test for SARS-CoV-2 Infection (COVID-19),Covid-19
NCT05548829,COVID RESPONSE STUDY (COVRES),COVID-19
NCT04579289,Managerial and Environmental Risk for COVID 19 in French Long Term Care Institutions,Covid19
NCT04400929,Using GM-CSF as a Host Directed Therapeutic Against COVID-19,"COVID|Sars-CoV2|ARDS, Human"
NCT05639192,Asunercept for the Treatment of Patients With Moderate to Severe COVID-19 Disease,COVID-19
NCT05204589,Heterologous Boost Immunization with an Aerosolised Ad5-nCoV After Two-dose Priming with an Inactivated SARS-CoV-2 Vaccine,COVID-19
NCT04570189,"Evaluating Auscul-X, a Touch Free Digital Stethoscope",COVID-19
NCT06330389,Burn Injuries During COVID-19 Pandemic and Its Influence on Length of Stay,SARS-CoV-2 Infection
NCT04394429,Endotracheal Tube Obstruction in Covid-19 Patients Requiring Mechanical Ventilation,Sars-CoV2
NCT04685629,Covid-19 Long-term Revalidation Follow-up,Covid19
NCT04673292,Community Collaboration to Combat COVID-19 (C-FORWARD),Coronavirus Infection
NCT05026892,Identification of Factors Associated With the Occurrence of Severe Forms of COVID-19 Infection in Patients With Inflammatory Rheumatism or Autoimmune Diseases,SARS-CoV2 Infection|Rare Diseases|Chronic Inflammatory Rheumatism|Autoimmune Diseases
NCT04399889,hCT-MSCs for COVID19 ARDS,COVID|Corona Virus Infection|COVID19
NCT04425889,COVID-19 Antibodies Among Healthcare Workers,COVID-19|SARS-CoV 2
NCT04750629,"Clinical Evaluation of a Point-of-Care (POC), COVID-19 Rapid Antigen Test (CoviDx™)",SARS-CoV-2|Covid19
NCT05092529,Psychological Impact of COVID-19 on Intensive Care Survivors,COVID-19|Psychological Distress|Depression|Anxiety|Post-traumatic Stress Disorder|Post Intensive Care Syndrome
NCT04904692,Virological and Immunological Monitoring in Patients (suspected Of/confirmed With) COVID-19,COVID-19
NCT05195229,Quantifying Viral Load in Respiratory Particles That Are Generated by Children and Adults With COVID-19 Infection,COVID-19
NCT04615429,Clinical Trial to Assess the Efficacy of MSC in Patients With ARDS Due to COVID-19,Acute Respiratory Distress Syndrome|COVID-19 Pneumonia
NCT04397692,Inhaled NO for the Treatment of COVID-19 Caused by SARS-CoV-2 (US Trial),"Corona Virus Infection|COVID-19|SARS-CoV 2|Nitric Oxide|Respiratory Disease|Pneumonia, Viral|Inhaled Nitric Oxide"
NCT04366089,Oxygen-Ozone as Adjuvant Treatment in Early Control of COVID-19 Progression and Modulation of the Gut Microbial Flora,"COVID|SARS-CoV 2|Pneumonia, Viral|Coronavirus Infection"
NCT04371289,Predictors of Cardiovascular Risk in Covid-19 Patients During Acute Disease and at Short Term Follow-up,COVID-19|Cardiovascular Risk Factor
NCT04844489,Study of the Humoral Response to SARS-CoV-2 Variants and of the Cellular Response After Vaccination Against COVID-19 in Immunocompromised People,Autoimmune or Autoinflammatory Diseases|HIV|Multiple Sclerosis|Solid Tumors or Cancers|Solid Organ Transplant
NCT04932889,Musculoskeletal Symptoms in Post Acute Covid-19 Patients,Covid19|Musculoskeletal Abnormalities
NCT04933929,Personalized Dietary Advice 3 Months After Discharge From Hospitalization in Geriatrics: Effect on Nutritional Status According to Coronavirus Disease 2019 (COVID-19) Status (Positive or Negative) During Hospitalization,Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2)
NCT04712292,Effects of COVID-19 Pandemic on the Outcomes of Colorectal Cancer,Colorectal Neoplasms Malignant
NCT05977192,Mobile Health-based Motivational Interviewing to Promote COVID-19 Vaccination,Vaccination Hesitancy
NCT05003492,"Utilizing the Crosstalk Among Aerosolized Phenformin , Methylene Blue, Photodynamic Therapy , Zinc and Potassium for Treating Severe COVID-19 Infection and Its Inflammatory Complication",COVID-19
NCT05710289,A Blood Collection Study to Assess the Immunogenicity of Nationally Authorized Homologous COVID-19 Booster Vaccines Among Adult Vaccinees.,COVID-19
NCT05677789,Defining COVID-19 Infection Severity on Presentation to Hospital,"COVID-19|Infections|Morality|Death, Assisted"
NCT04346589,Convalescent Antibodies Infusion in Critically Ill COVID 19 Patients,"Pneumonia, Ventilator-Associated|Coronavirus Infection"
NCT04834089,Clinical Trial for Assessment of Anti-SARS-CoV-2 Serum for Early Treatment of COVID-19 Cases,Immunosuppression|Cancer|COVID-19|Other Complication of Kidney Transplant|Chemotherapy|Renal Disease|Diabetes Mellitus|Cardiovascular Diseases|Chronic Obstructive Pulmonary Disease
NCT05599529,"A Retrospective Cohort Study of Differential Attainment, COVID-19 and Chaos",Surgery|COVID-19
NCT05608629,Vagus Nerve Stimulation as Treatment for Long Covid,Long COVID|Chronic Fatigue Syndrome
NCT04723589,Restoration of Endothelial Integrity in Patients With COVID-19 (RELIC),COVID-19
NCT05017792,"Evaluation of Clinical and Antibody Response to Covid-19 Vaccination Strategy in TBRI, Egypt",Covid19
NCT05139992,COVID-19 Vaccine Response in Sickle Cell Disease,Sickle Cell Disease|COVID-19
NCT04379492,A Study of Hydroxycholoroquine Compared to Placebo as Treatment for People With COVID-19,COVID-19|COVID19|Sars-CoV2|SARS-Cov-2
NCT06694389,"Study to Investigate the Immunogenicity, Reactogenicity, and Safety of mRNA-1083 Vaccine (SARS-CoV-2 [COVID-19] and Influenza) in Adults ≥50 Years of Age",COVID-19|Influenza
NCT05584189,COVID-19 MP Biomedicals Rapid SARS-CoV-2 Antigen Test Usability,Sars-CoV-2 Infection|COVID-19
NCT04320862,COVID-19 Pandemic Response Network,COVID-19|SARS-CoV-2|Coronavirus|Influenza -Like Illness|Lower Resp Tract Infection|Upper Resp Tract Infection
NCT05228691,Prevalence of Long COVID-19 in the Canary Islands,COVID-19
NCT04847362,The Effect of Tele-Health Education Provided in the Postpartum Period in the Covid 19 Pandemic,Postpartum Depression|Anxiety State
NCT04643691,Losartan and Spironolactone Treatment for ICU Patients With COVID-19 Suffering From ARDS,COVID-19|ARDS
NCT04546191,Symptoms and Wellbeing of People Infected With Covid-19 Virus in Iceland,Covid19
NCT04390191,Early CPAP in COVID-19 Confirmed or Suspected Patients,COVID-19|COVID|Coronavirus
NCT05148091,"The Safety, Tolerability and Immunogenicity of COVID-19 Vaccine (SCTV01C) in Healthy, Unvaccinated Adults",COVID-19
NCT04510662,Telmisartan in Respiratory Failure Due to COVID-19,"COVID-19|Respiratory Insufficiency|Telmisartan|Respiratory Distress Syndrome, Adult"
NCT05307562,Efficacy of Respiratory Rehabilitation After COVID-19 Severe Infection,COVID-19 Respiratory Infection|Rehabilitation|Physical Therapists
NCT04517162,Intramuscular Effect of Polymerized Type I Collagen on the Cytokine Storm in COVID-19 Patients,Covid19|Cytokine Storm|Regulation of Inflammatory Response|Pulmonary Fibrosis
NCT04969991,Study of Varespladib in Patients Hospitalized With Severe COVID-19,Coronavirus Disease 2019|Disease Caused by Severe Acute Respiratory Syndrome Coronavirus 2
NCT04373291,Using BCG Vaccine to Protect Health Care Workers in the COVID-19 Pandemic,COVID-19|Non-specific Effects of Vaccines|Morbidity|Absenteeism|Heterologous Immunity
NCT05765591,Balneotherapy for Patients With Post-acute Coronavirus Disease (COVID) Syndrome,Post-COVID-19 Syndrome
NCT04334291,"International COVID19 Clinical Evaluation Registry,",COVID 19
NCT05197491,Women's Menstruation During the Covid-19 Pandemic,Menstrual Irregularity|Stress Related Disorder|COVID-19 Pneumonia|Fear|Anxiety
NCT04412291,"A Study in Patients With COVID-19 and Respiratory Distress Not Requiring Mechanical Ventilation, to Compare Standard-of-care With Anakinra and Tocilizumab Treatment The Immunomodulation-CoV Assessment (ImmCoVA) Study",Covid-19
NCT05125562,Extracellular Vesicles Infusion Treatment for Mild-to-Moderate COVID-19,COVID-19
NCT04905862,Assessment of Immune Response After Vaccination Against COVID-19 in Patients Treated With Renal Replacement Therapy,"Kidney Failure, Chronic|Covid19|Vaccine Reaction|Vaccine Adverse Reaction"
NCT05359991,Exercise in Child Health,Cystic Fibrosis|Sickle Cell Disease|SARS CoV 2 Infection
NCT04797091,Kidney in Coronavirus Disease 2019 Registry,Corona Virus Infection|SARS-CoV 2
NCT04442191,Convalescent Plasma as a Possible Treatment for COVID-19,COVID-19
NCT04475991,Safety and Efficacy of Maraviroc and/or Favipiravir With Standard Therapy in Severe COVID-19 Adults,COVID-19
NCT05722691,Study for Efficacy and Safety Assessment of the Drug RADAMIN®VIRO for COVID-19 Postexposure Prophylaxis,COVID-19
NCT04570462,Mild Hypothermia for COVID-19 ARDS,COVID19 ARDS
NCT05542862,Booster Study of SpikoGen COVID-19 Vaccine,COVID-19
NCT04463862,COVID - AirPollution,COVID-19 Confirmed Cases|COVID-19 Mortality
NCT04650191,Surfactant Protein Genetic Variants in COVID-19 Infection,Coronavirus Infection
NCT04813562,Immunogenicity and Safety of Recombinant COVID-19 Vaccine (CHO Cells),COVID-19
NCT05113862,A Phase-I Study of a Nanoparticle-based Peptide Vaccine Against SARS-CoV-2,Coronavirus|SARS-CoV-2 Infection|COVID-19
NCT04896762,Extrapulmonary Presentations of COVID-19 Patients,COVID-19
NCT04511962,"Feasibility, of Tele-rehabilitation Following COVID-19",Pulmonary Disease
NCT04929691,The CircumVent Project: A CPAP/O2 Helmet Solution for Non-Invasive Ventilation Among Patients With COVID-19,SARS-CoV-2 Acute Respiratory Disease|COVID-19 Respiratory Infection
NCT04729491,EAT-DUTA AndroCoV Trial,Covid19
NCT04659889,Clinical and Haematological Phenotypes in Long COVID,Long Covid|Covid19
NCT04583189,Evaluation of the Performance of the Covid-19 Ag BSS Rapid Antigenic Test in Symptomatic Children in a Pediatric Emergency Department,Covid19
NCT05874089,VSL#3® vs Placebo in the Treatment of Fatigue and Other Symptoms in Long Covid (DELong#3),Long COVID
NCT04442789,Sequelae of Sars-CoV-2 Infections,Lung Diseases|Cardiac Disease|Inflammatory Reaction
NCT04359329,Estrogen Patch for COVID-19 Symptoms,COVID
NCT05172167,Prospective Evaluation of SARS-CoV-2 Antibodies Levels in a Vaccinated Population of Valle de Aburra,COVID-19
NCT05352867,Clinical Trial of SARS-CoV-2 mRNA Vaccine in Chinese People,SARS-CoV-2
NCT04341792,Predictive Biomarkers of Secondary Aggravation in Covid-19 Suspect Patient,Infection Viral|Coronavirus|COVID-19
NCT04441489,Assessment of Lung Inflammation With FDG PET/CT in COVID-19,COVID-19|FDG PET/CT|Inflammation
NCT04944329,Hip Fracture and COVID-19,SARS-CoV2 Infection|Hip Fractures|Surgery
NCT05158829,COVID-19 Antibody Responses In Cystic Fibrosis,Cystic Fibrosis
NCT05171829,An Educational Self-tracking Tool for Identification of SARS-CoV-2 Risk Transmission,Sars-CoV-2 Infection|Empowerment|Transmission
NCT04733729,Covid-19 in Hematological Malignancies,COVID-19 Infection in Hematological Malignancies Patients
NCT05233592,Glycemic Effects of the COVID-19 Booster Vaccine in Type 1 Diabetes,"Type 1 Diabetes|Diabetes Mellitus, Type 1"
NCT04402892,COVID-19: SARS-CoV-2 Specific Memory B and T-CD4+ Cells,COVID-19|SARS-CoV-2 Infection
NCT04635592,Serological Diagnostics of COVID-19 in Health Care Workers,SARS-CoV Infection
NCT06016192,Aerobic Training for Rehabilitation of Patients With Post Covid-19 Syndrome,Post-COVID-19 Syndrome|Long-COVID-19 Syndrome
NCT05507489,Clinical Trial of Jinzhen Oral Liquid in Treating Children With COVID-19 Infection,"COVID-19|Child, Only"
NCT04810689,"Pilot Trial of XFBD, a TCM, in Persons With COVID-19",Covid19
NCT04626089,"Metformin Glycinate in Patients With MS or DM2 , Hospitalized With COVID-19 and SARS Secondary to SARS-CoV-2",Severe Acute Respiratory Syndrome Coronavirus 2|Metabolic Syndrome|Type 2 Diabetes
NCT04581889,Prevalence of Antibodies Against SARS-CoV-2 Virus That Causes COVID-19 in Tübingen Children,Severe Acute Respiratory Syndrome
NCT04958889,COVID-19 Recovery Study: Symptoms and Biomarkers of Long COVID-19 in People Living With and Without HIV,Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV2)|HIV
NCT03241589,Teledermatology Mobile App: Patient Facing,Introduction of Teledermatology Mobile Apps
NCT05503589,The Psychological Effect of the Covid-19 Pandemic,Psychological Distress
NCT05077189,Temporomandibular Joint and COVID-19,COVID-19|Temporomandibular Disorder|ASA Triad
NCT06391489,HOBSCOTCH for People With Post Acute COVID-19 Syndrome (PACS),Post Acute COVID 19 Syndrome|Memory Impairment|Memory Dysfunction|Cognitive Dysfunction
NCT05483829,Digital Health Intervention Based on Artificial Intelligence to Support the Personalized Recovery of Long COVID Patients Affected by Fatigue (AIDA),Post Acute COVID-19 Syndrome
NCT05615792,Observational Cohort of COVID-19 Patients in Hubei Province,2019 Novel Coronavirus Disease
NCT05256589,Clinical Evaluation of the SONA Saliva C-19 Rapid Self-Test for the Detection of COVID-19,Sars-CoV-2 Infection
NCT04451889,Probe-based Confocal Laser Endomicroscopy in Critically Ill COVID-19 Patients,COVID-19
NCT05069389,Registry of Management Strategies for Patients With COVID-19 in Healthcare Establishments,COVID-19 Infection
NCT04371029,Impact of Neck Inspiratory Muscle Activation During Sleep in ICU Patients After a COVID 19 ARDS,ARDS|COVID-19
NCT04355429,Efficacy of Captopril in Covid-19 Patients With Severe Acute Respiratory Syndrome (SARS) CoV-2 Pneumonia (CAPTOCOVID),Pneumonia|Coronavirus Infection|COVID-19
NCT05541289,"Expanded Access Program of Whole, Inactivated COVID-19 Vaccine COVAXIN™ (BBV152) in Adults Aged 18 Years and Older",COVID-19
NCT04693689,"Novelty, Conformity and Trust in COVID-19 Vaccines",Trust
NCT04391829,Detection of SARS-CoV-2 in Semen of COVID-19 Positive Males,COVID-19|Sars-CoV2|Corona Virus Infection|Semen
NCT05517629,Face Mask Habits and COVID-19 Among University Students in Cairo,"Face Mask Squeeze|COVID-19|Pandemic, COVID-19"
NCT06097429,Platelet Aggregation in COVID-19 Patients,COVID-19
NCT04485429,Efficacy Assessment of Methylprednisolone and Heparin in Patients With COVID-19 Pneumonia,COVID-19
NCT05060562,Post Coronavirus Disease (COVID-19) Syndrome Indonesian Population,Covid19
NCT05411562,COVID-19 Genomic Sequencing for Nosocomial Outbreak Investigations,COVID-19|Molecular Sequence Variation|Nosocomial Infection
NCT05069662,Impact of the COVID-19 Pandemic on Drug Use and Monitoring of Cancer Patients,Cancer
NCT05057962,Tocilizumab in Covid-19 Penumonia in Buenos Aires City,COVID-19 Pneumonia|Tocilizumab
NCT05392062,Pathophysiology of Gas Exchange and Time Course Changes in Spontaneously Breathing Patients With Acute Respiratory Failure Due to COVID-19. A Multicenter Prospective Study.,Respiratory Insufficiency
NCT04352491,An Online Survey to Understand Feelings Related to COVID-19 Among ILBS Patients With Liver Disease,COVID 19
NCT04535791,Efficacy of Vitamin D Supplementation to Prevent the Risk of Acquiring COVID-19 in Healthcare Workers,Covid19|Vitamin D
NCT04411680,Study of Sargramostim in Patients With COVID-19,COVID-19|SARS-CoV-2
NCT05059080,A Six-Month Follow-Up Study of Participants With Coronavirus Disease 2019 (COVID-19) Previously Enrolled in a RO7496998 (AT-527) Study,COVID-19|Long COVID
NCT04633980,Hydrogen Therapy in Patients With Moderate Covid-19,Covid-19
NCT05752162,Perioperative Complications Linked to COVID-19 History in Elective Cardiac Surgery Patients,Postoperative Complications|COVID-19
NCT04527562,Colchicine in Moderate Symptomatic COVID-19 Patients,Covid19
NCT04404062,Serological and PCR Testing for COVID-19,COVID-19
NCT04430062,Short-term Outcome of Covid-19 Surgical Patients: Case-series of a High-risk Area Community Hospital,General Surgery|Disease Outbreaks
NCT04539262,"Study in Participants With Early Stage Coronavirus Disease 2019 (COVID-19) to Evaluate the Safety, Efficacy, and Pharmacokinetics of Remdesivir Administered by Inhalation",COVID-19
NCT04336462,Hydrogen-Oxygen Generator With Nebulizer in the Improvement of Symptoms in Patients Infected With COVID-19,COVID-19
NCT04542980,Qualitative Evaluation of Tear Fluid and Blood for Auto Antibodies Produced in Response to COVID-19,SARS-CoV 2 Infection|Covid19
NCT05212480,Evaluation of the Efficacy and Safety of Zinc in Viral Infections,SARS-CoV2 Infection
NCT05081362,Cardiovascular Assessment in Patient Recovered From COVID-19 and Recovery of Autonomic Nervous System in Association With the Severity of the Disease,COVID-19
NCT05148962,Study of GRT-R910 COVID-19 Boost Vaccine in Healthy Volunteers,COVID-19
NCT05800080,An Exploratory Study of Immunotherapy Combined With Anlotinib and Chemotherapy in Perioperative Treatment of LAGC,Gastric Cancer
NCT05220280,SOLIDARITY Finland Plus Long-COVID,Covid19|Coronavirus Disease 2019|SARS-CoV-2 Acute Respiratory Disease
NCT04410562,Hydroxychloroquine Efficacy and Safety in Preventing SARS-CoV-2 Infection and COVID-19 Disease Severity During Pregnancy and Postpartum,Pregnancy Related|COVID|Covid-19
NCT04673162,Evaluation of the Efficacy of High Doses of Methylprednisolone in SARS-CoV2 ( COVID-19) Pneumonia Patients,Covid19
NCT04537962,Salivary SARS-CoV-2 Load of Covid-19 Patients After Oral Antimicrobial Solutions and Dentifrices,Corona Virus Infection
NCT04353180,Assessment the Activity Value of Isotretinoin (13- Cis-Retinoic Acid ) in the Treatment of COVID-19 ( Isotretinoin in Treatment of COVID-19) (Randomized),COVID19
NCT04930380,Description of Adherence to the Main Preventive Health Campaigns of Persons With Multiple Sclerosis,Multiple Sclerosis
NCT04371562,Predicting Death and ICU Admission in COVID-19 Patients in ED,COVID
NCT04367662,Study of the Vascular Compartment and Hypercoagulability During Coronavirus Infection COVID-19,COVID-19
NCT04370262,Multi-site Adaptive Trials for COVID-19,COVID-19
NCT04381962,A Multicentre Open-label Two-arm Randomised Superiority Clinical Trial of Azithromycin Versus Usual Care In Ambulatory COVID19 (ATOMIC2),COVID-19
NCT04753762,Multimodal IMAgery Characterization of Cardiac Damage and Severity After COVID-19 Infection,COVID-19 Virus Disease|Cardiac Complication
NCT04380662,Risk Factors Worsening COVID19 for Out-patient With Home Monitoring,Covid19
NCT05293262,Endourological Management of Stones During COVID19,Urolithiasis|COVID-19
NCT04405492,"Evaluation of Rapid Diagnostic Solutions, Serological and Molecular Tests for COVID-19",SARS-CoV 2|COVID-19
NCT04805892,Study Utilizing BIOZEK COVID-19 Antigen Rapid Test.,Covid19
NCT04343092,Effectiveness of Ivermectin as add-on Therapy in COVID-19 Management,COVID 19
NCT04809389,A Study to Evaluate Safety and Immunogenicity of DelNS1-nCoV-RBD LAIV for COVID-19,Covid19
NCT05445089,Study to Verify the Effectiveness and Safety of Isothymol or Carvacrol Compound Against SARS-CoV-2 in COVID-19 Patients,COVID-19|COVID-19 Pneumonia|COVID-19 Respiratory Infection|COVID-19 Acute Respiratory Distress Syndrome|COVID-19 Lower Respiratory Infection
NCT05497089,Temelimab as a Disease Modifying Therapy in Patients With Neuropsychiatric Symptoms in Post-COVID 19 or PASC Syndrome,Post-COVID-19 Syndrome
